"iso","umd_tree_cover_loss__year","umd_tree_cover_loss__ha","umd_tree_cover_loss_from_fires__ha"
"AFG",2001,88.09271247269965572,12.24929370662000878
"AGO",2001,101220.62152450022645573,888.69456111275454189
"AIA",2001,3.87846070809678965,0.0
"ALA",2001,396.934825671747194466,8.12986098524739438
"ALB",2001,3729.021031484866300286,754.55499429419360279
"AND",2001,1.6542129477061634,0.28537301158203126
"ARG",2001,147805.950355627123345125,7972.718403093724168190
"ARM",2001,131.840612264474781465,28.985651241920574285
"ATG",2001,24.07418943832681809,0.36816398741536461
"AUS",2001,218816.302071089892370441,154497.153958951020754415
"AUT",2001,6926.26900784900933848,63.695902111647136930
"AZE",2001,553.29935612138195229,102.66725252357418557
"BDI",2001,1417.24695708633791810,0.61443509764689134
"BEL",2001,971.488195276284387430,10.199185545273438446
"BEN",2001,3749.33110518270109187,8.46116935786675385
"BES",2001,3.03185725290093332,0.0
"BFA",2001,59.47710511239313311,0.0
"BGD",2001,4586.99720271471007486,119.07781036326391579
"BGR",2001,8202.31911165974413565,2588.53849094009873355
"BHS",2001,432.99941970350704208,71.08703236286785657
"BIH",2001,1496.107104549773778936,620.79572704059710072
"BLR",2001,18358.96427888590674968,339.69696321969839460
"BLZ",2001,8211.62949254660414452,1289.19761174582785190
"BMU",2001,0.1958197936338976,0.0
"BOL",2001,140321.26053098037618274,11430.09796202105647096
"BRA",2001,2746361.55670610413564286,127418.53925897349213032
"BRB",2001,12.36746156416883842,0.52463511402452266
"BRN",2001,1244.45382286781158790,53.21603476361084063
"BTN",2001,297.65963149439670985,28.09743365198459261
"BWA",2001,130.98388147723632370,3.55340823797743139
"CAF",2001,31282.43685307152140354,303.11057365205146071
"CAN",2001,1358154.799492036871802704,520947.712050052883830709
"CHE",2001,1165.213247325959493233,13.164761910627171241
"CHL",2001,72711.302806946934619440,3148.508896981463139874
"CHN",2001,230289.115278809464032496,31948.147235070685903222
"CIV",2001,122711.45023837910199728,608.67040699892001664
"CMR",2001,39203.71718120803080314,135.02088775454603632
"COD",2001,455516.73897045698503409,7540.41564678384065129
"COG",2001,27030.69621787330225581,680.60419455393332539
"COL",2001,230054.83567237298533590,9995.10297230189280265
"COM",2001,36.97369320812446387,0.22594794528591578
"CPV",2001,7.13645079432942799,1.2644497312901475
"CRI",2001,15461.87944946766552073,486.78645438456972023
"CUB",2001,18942.90877802544319200,989.84413784921093587
"CUW",2001,0.90278852551215287,0.07522503909342448
"CYM",2001,20.68161219993164220,0.36298459668945314
"CYP",2001,78.62890207442053983,41.24433561476557569
"CZE",2001,3460.142585505528808464,75.608608198007805465
"DEU",2001,15286.38056788825824821,165.557354523051238245
"DMA",2001,22.79275551081271933,0.37100238926649306
"DNK",2001,4329.29585318787212670,129.523868320729166761
"DOM",2001,11246.81006554313612271,1110.62097043703551603
"DZA",2001,3468.760252169604490056,2377.750525253170110926
"ECU",2001,45002.46870978925032571,3394.18742691502111989
"EGY",2001,147.7649426810926578,17.00225300612521772
"ERI",2001,2.52952433260253888,0.8927561486518013
"ESP",2001,32811.053519209294722958,7522.055903831307914240
"EST",2001,16872.43450527266806337,200.931048944275188926
"ETH",2001,11947.24724356116984960,48.16398035060439302
"FIN",2001,151003.260500030184794066,2066.713802321184339825
"FJI",2001,1097.76405439653422192,22.98367063351670847
"FRA",2001,34420.963394336132140276,1602.153341213741890524
"GAB",2001,15082.63772959298129598,180.88103271439915647
"GBR",2001,23244.127250639834991481,2742.57081672696289416
"GEO",2001,666.55636661217029520,61.80836734090712094
"GGY",2001,0.9576780356467015,0.050414220579427085
"GHA",2001,43644.05617298840684793,101.65802505959851867
"GIB",2001,0.18728563696831596,0.0
"GIN",2001,18571.52585588293520829,104.73971493444144681
"GLP",2001,320.70238556614373781,3.03138389861707915
"GMB",2001,3.29742186304958741,0.0
"GNB",2001,2362.15302834531830030,2.63459318184461813
"GNQ",2001,3585.41910142410024731,7.61222741816806366
"GRC",2001,12616.822022141136650056,6902.14746272990828155
"GRD",2001,32.81085886816514150,0.07524097561848958
"GTM",2001,53310.17515246638941646,3477.46803640438503296
"GUF",2001,3033.28774855398396882,196.71566784133042043
"GUY",2001,10039.86770689784899201,2923.33604654133273039
"HKG",2001,7.9812912139051649,0.28498030558593753
"HND",2001,42380.17445673980195829,3128.64562042481853821
"HRV",2001,3378.48960363450925323,688.95219693071967518
"HTI",2001,2469.04829834469431328,189.02764499177740814
"HUN",2001,7522.059331819899895316,96.82719036324220849
"IDN",2001,744087.98910984744103669,36584.07479009404335165
"IMN",2001,15.97543761675781434,3.357041069279513996
"IND",2001,62361.17449539599683382,2011.99680984393023796
"IRL",2001,9559.474140865519154346,597.983364286494454749
"IRN",2001,332.483705373783827855,62.84616547529731263
"IRQ",2001,16.0266364170160602,2.26751166641601574
"ISR",2001,145.96523805449429961,16.52634444356771046
"ITA",2001,9871.496931661050800666,706.928646104101778420
"JAM",2001,1246.24152332716043383,28.05902341346246153
"JEY",2001,3.6963388705577263,0.3038199528602431
"JOR",2001,0.52202803109049483,0.0
"JPN",2001,23977.46161886465219803,763.161523002159389235
"KAZ",2001,4534.70274132364815140,1169.95808948399867017
"KEN",2001,19027.21104888777105227,36.51739674557046465
"KGZ",2001,589.22635599647132004,226.86006437998045345
"KHM",2001,28491.44387094623623871,1054.64844945426813490
"KNA",2001,45.60965867606336957,1.17702853219401041
"KOR",2001,5503.445334868891786455,647.74191253486135383
"LAO",2001,36474.65075046011198088,123.74085989047798662
"LBN",2001,299.40426759799150734,25.6995690966872864
"LBR",2001,29185.67018032972122093,303.97122564620774951
"LBY",2001,17.15270151697374167,7.73121852740234321
"LCA",2001,31.08046320850476697,1.79346050794487845
"LIE",2001,3.42394321194010429,0.15804024816623263
"LKA",2001,3759.51036338267965119,73.46096683737359656
"LSO",2001,1.1400521308257379,0.0
"LTU",2001,7961.68739521878100413,113.48258029870662399
"LUX",2001,68.609691967322055422,0.651169620412326426
"LVA",2001,24907.621124475982331486,201.88103135164718725
"MAC",2001,1.4280703393370224,0.0
"MAF",2001,2.12365598472005213,0.21969459192274307
"MAR",2001,1868.28860588490671920,569.77910364120091616
"MDA",2001,146.68806072638889744,11.64532980643012173
"MDG",2001,86956.83269885377372525,2025.33770798898602047
"MDV",2001,4.74348726237535264,0.0
"MEX",2001,158302.98849059753419706,13288.02115668830467721
"MKD",2001,2059.86414312981014832,405.41917596952292793
"MLI",2001,347.87068810634838337,0.22496969141710071
"MLT",2001,1.25191253759982637,0.06260555997395834
"MMR",2001,44804.23912730837225626,1130.50166488390516405
"MNE",2001,858.49208052328583463,216.424610857181082844
"MNG",2001,21056.722644028169840945,11973.38785257143770087
"MOZ",2001,60936.64967623506514627,522.97086345399094300
"MRT",2001,31.8384353674479,0.2211043365809462
"MSR",2001,7.07855530550021338,0.2948995134667969
"MTQ",2001,192.96524826149415501,4.02225504650227883
"MUS",2001,156.58138352473961417,0.0
"MWI",2001,2488.28077045018674274,5.34181008213867208
"MYS",2001,332497.42453449670897059,4872.01569818154278691
"MYT",2001,31.3026936667648659,0.0
"NAM",2001,417.51246074281128109,2.17294149342339444
"NCL",2001,697.92109943515196232,57.00113921695095715
"NER",2001,0.1501956647981771,0.0
"NGA",2001,43386.49462046711401626,117.75986410883410307
"NIC",2001,44109.79204906128048953,1551.18162842113046411
"NLD",2001,736.42162338508274328,17.876506567358942624
"NOR",2001,22445.94139930806662380,1066.19822304440342563
"NPL",2001,1523.19475188062431453,197.99011148195531429
"NZL",2001,50528.282390250849070058,1128.345801948228251413
"PAK",2001,217.77039508557190665,69.84654124834310129
"PAN",2001,18264.10740919913330886,508.46610276551871881
"PER",2001,86013.86649075321702281,4890.07530191578791521
"PHL",2001,35165.19170445453274721,478.32129872596817840
"PLW",2001,52.11206111851319328,2.05982917001383481
"PNG",2001,36005.13509686908671420,1185.62254209819379922
"POL",2001,19066.102075186502157662,232.193935437371963046
"PRI",2001,1252.36223113046437608,14.12893110236219718
"PRK",2001,11945.6094878441458905,5481.15860502274876102
"PRT",2001,24405.379822218463956645,4291.38047866665025571
"PRY",2001,150238.73294175852153925,8501.15021238251307493
"PSE",2001,2.21930227762912358,0.1315876852918837
"REU",2001,28.61721413183485230,0.0
"ROU",2001,17535.528792152411056884,464.689065038860712062
"RUS",2001,1826602.995425979458553410,1161207.295027070300011856
"RWA",2001,1516.76632078318553153,1.69172782543714754
"SDN",2001,26.94295315939506937,0.07558568002766927
"SEN",2001,70.59427484556965220,0.0
"SGP",2001,43.45389467109233073,0.0
"SLB",2001,2187.11744400427369627,29.80886689376790298
"SLE",2001,18596.42529867072620406,76.68178743827502045
"SLV",2001,9499.39162403649758112,208.95792775223250536
"SOM",2001,339.30394592145469501,1.14942791487379276
"SRB",2001,2379.58340047030347811,164.460407902684330588
"SSD",2001,4906.03399268180476887,38.71599202081488497
"STP",2001,77.22190501909936958,0.0
"SUR",2001,3688.94705198509310144,272.53377641076285739
"SVK",2001,3897.39315898723529950,92.490861239472652048
"SVN",2001,615.460310509926260004,8.13098184965494929
"SWE",2001,144927.226590871785839446,1843.892966972910263947
"SWZ",2001,6734.85371066160876433,44.10780785460069844
"SXM",2001,1.31828367657335088,0.43943189053602427
